"id","loss"
4,1790.57983398438
6,2107.51123046875
9,9284.658203125
12,7439.39501953125
15,760.714660644531
17,2069.70190429688
21,2189.24438476562
28,1140.16357421875
32,4198.71533203125
43,3478.82421875
46,4540.341796875
50,1036.00048828125
54,1382.92199707031
62,2293.34838867188
70,2430.28442382812
71,5538.96826171875
75,2178.87890625
77,3014.87182617188
81,4070.56225585938
83,2676.16186523438
87,1977.30285644531
97,2314.75439453125
103,1382.8017578125
119,1247.85400390625
120,2174.3203125
127,1146.68933105469
138,4741.43212890625
141,3937.32104492188
148,1353.45544433594
150,2932.50659179688
151,2161.09692382812
158,1527.06713867188
160,7113.6201171875
165,3058.93017578125
168,3548.78637695312
169,4100.03857421875
177,3623.7470703125
178,3922.16918945312
184,2480.67114257812
194,8009.6787109375
198,1588.95458984375
203,3547.09326171875
211,2969.30444335938
217,1286.7236328125
219,1875.87341308594
221,5826.87353515625
227,1961.15100097656
230,2042.46813964844
235,2145.46728515625
240,686.50830078125
243,4610.26953125
249,8106.00439453125
253,2991.6787109375
258,1618.94165039062
261,2075.81469726562
263,4506.63427734375
264,2414.64282226562
265,4936.919921875
268,2039.32751464844
271,1593.5205078125
274,6572.48876953125
275,784.852355957031
279,1670.14770507812
282,1646.02172851562
286,3823.53759765625
288,1060.3671875
294,2438.44799804688
296,1035.98937988281
297,1414.87646484375
300,839.56298828125
303,10444.2060546875
314,1468.99401855469
315,5349.1806640625
321,2863.89721679688
323,4551.31982421875
330,3611.4619140625
341,2329.595703125
342,4905.5966796875
352,2095.96728515625
353,3843.96508789062
360,7055.1806640625
361,2937.34594726562
362,4316.5205078125
366,1630.99060058594
372,3977.90966796875
376,2994.16088867188
377,2437.31298828125
379,1771.58068847656
380,4220.6259765625
387,1926.39953613281
392,2194.16088867188
394,8822.3720703125
395,1462.71740722656
397,1852.21228027344
407,5697.14404296875
411,7825.7333984375
416,2815.87084960938
417,1659.25268554688
419,3754.70043945312
428,5472.4853515625
431,2025.13586425781
436,7769.8125
438,1617.75695800781
445,7017.748046875
446,9886.2646484375
455,1462.76110839844
456,1603.37817382812
461,977.328796386719
463,1938.91296386719
